Date,Model Type,Test Accuracy,Parameters
17 May 2020,CNN-static,0.9279342723004697,"Namespace(batch_size=50, dataset='CR', dataset_path='../../../../data/CR-customer review data/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=True, log_results=True, lr=0.001, model_name='CNN-static', optimizer='Adam', save_model=False, use_multi_channel=False, use_pretrained_vector=True, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
18 May 2020,CNN-non-static,0.930281690140845,"Namespace(batch_size=50, dataset='CR', dataset_path='../../../../data/CR-customer review data/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=False, log_results=True, lr=0.001, model_name='CNN-non-static', optimizer='Adam', save_model=False, use_multi_channel=False, use_pretrained_vector=True, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
18 May 2020,CNN-rand,0.9208920187793428,"Namespace(batch_size=50, dataset='CR', dataset_path='../../../../data/CR-customer review data/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=False, log_results=True, lr=0.001, model_name='CNN-rand', optimizer='Adam', save_model=False, use_multi_channel=False, use_pretrained_vector=False, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
18 May 2020,CNN-multichannel,0.9342723004694836,"Namespace(batch_size=50, dataset='CR', dataset_path='../../../../data/CR-customer review data/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=False, log_results=True, lr=0.001, model_name='CNN-multichannel', optimizer='Adam', save_model=True, use_multi_channel=True, use_pretrained_vector=True, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
