Date,Model Type,Test Accuracy,Parameters
17 May 2020,CNN-static,0.8966600572617501,"Namespace(batch_size=50, dataset='MPQA', dataset_path='../../../../data/MRQA-database.mpqa.1.2/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=True, log_results=True, lr=0.001, model_name='CNN-static', optimizer='Adam', save_model=False, use_multi_channel=False, use_pretrained_vector=True, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
18 May 2020,CNN-rand,0.8466874433162023,"Namespace(batch_size=50, dataset='MPQA', dataset_path='../../../../data/MRQA-database.mpqa.1.2/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=False, log_results=True, lr=0.001, model_name='CNN-rand', optimizer='Adam', save_model=False, use_multi_channel=False, use_pretrained_vector=False, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
18 May 2020,CNN-non-static,0.8953396582078141,"Namespace(batch_size=50, dataset='MPQA', dataset_path='../../../../data/MRQA-database.mpqa.1.2/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=False, log_results=True, lr=0.001, model_name='CNN-non-static', optimizer='Adam', save_model=False, use_multi_channel=False, use_pretrained_vector=True, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
18 May 2020,CNN-multichannel,0.8960940195259012,"Namespace(batch_size=50, dataset='MPQA', dataset_path='../../../../data/MRQA-database.mpqa.1.2/', embedding_size=300, epochs=25, epochs_log=5, keep_embedding_static=False, log_results=True, lr=0.001, model_name='CNN-multichannel', optimizer='Adam', save_model=False, use_multi_channel=True, use_pretrained_vector=True, word2vec_path='../../../../data/google.news.word2vec/GoogleNews-vectors-negative300.bin')"
